Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C2988620,BH-18650-B1BA002,MYOUNG,-,,Battery Holder Cylindrical 18650 Cell SMD,yes,3,1,1,1.3066,3.92,https://www.lcsc.com/product-detail/C2988620.html
2,C3975131,PM127-2-05-S-4.3,HCTL,"SMD,P=1.27mm",,Female Header 10 Position 1.27mm Pitch Dual Row Surface Mount -40℃~+105℃,yes,7,7,7,0.1853,1.30,https://www.lcsc.com/product-detail/C3975131.html
3,C3975188,PZ127-2-05-S,HCTL,"SMD,P=1.27mm",,Pin Header 10 Position 1.27mm Pitch Dual Row Surface Mount -40℃~+105℃,yes,10,5,5,0.1457,1.46,https://www.lcsc.com/product-detail/C3975188.html
4,C2765186,TYPE-C 16PIN 2MD(073),SHOU HAN,SMD,,"USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle",yes,20,20,20,0.0705,1.41,https://www.lcsc.com/product-detail/C2765186.html
5,C3235557,TPS2116DRLR,TI,SOT-583,,2 Channel 2.5A SOT-583,yes,5,1,1,0.4576,2.29,https://www.lcsc.com/product-detail/C3235557.html
6,C2827654,USBLC6-2SC6,TECH PUBLIC,SOT-23-6,,12VC Clamp 6A Ipp ESD DIODE SOT-23-6,yes,10,10,10,0.0410,0.41,https://www.lcsc.com/product-detail/C2827654.html
7,C81080,BQ24040DSQR,TI,WSON-10-EP(2x2),,3.5V~28V Lithium Battery 1 1A WSON-10-EP(2x2) Battery Chargers ICs RoHS,yes,5,5,5,0.3822,1.91,https://www.lcsc.com/product-detail/C81080.html
8,C150742,AP7365-33WG-7,DIODES,SOT-25,,"3.3V Positive Fixed SOT-25 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",yes,10,5,5,0.1894,1.89,https://www.lcsc.com/product-detail/C150742.html
9,C154943,XB5352A,XySemi,SOT-23-5,,Battery Protection IC Lithium-ion/Polymer SOT-23-5,yes,10,10,10,0.0735,0.74,https://www.lcsc.com/product-detail/C154943.html
10,C5451632,DS18B20,HXY MOSFET,TO-92,,-55℃~+125℃ Single bus ±0.4℃ TO-92 Analog and Digital Output RoHS,yes,3,1,1,0.5035,1.51,https://www.lcsc.com/product-detail/C5451632.html
11,C527464,DRV2605LDGSR,TI,VSSOP-10-0.5mm,,"I2C VSSOP-10-0.5mm Motor Drivers, Controllers RoHS",yes,3,1,1,1.2381,3.71,https://www.lcsc.com/product-detail/C527464.html
12,C481766,LSM6DSOXTR,ST,LGA-14(2.5x3),,LGA-14(2.5x3) IMUs (Inertial Measurement Units) RoHS,yes,3,1,1,3.4384,10.32,https://www.lcsc.com/product-detail/C481766.html
